gene,4h_mean,12h_mean,24h_mean,48h_mean,72h_mean,7d_mean,21d_mean,28d_mean
Lipf,120.1138142,81.8637308,99.96087492,94.25348199,115.4606657,95.40211211,77.71296956,91.28920933
Serpine2,472.2414588,369.0368343,478.5497039,581.7941581,818.5297516,663.3789166,433.4861729,509.066185
Ucp1,143.1434908,88.03880405,120.3877974,107.7673983,124.4655765,104.127834,101.6398514,96.06139074
Vcsa1,218.8035365,129.2539714,181.3456186,152.1998293,189.06551,144.549382,154.0350904,132.6531879
Igfbp2,712.783856,1075.289615,702.1319278,903.0873496,875.166054,1185.876507,2138.563831,1940.845735
Rln1,151.1845337,105.4743226,121.2709041,126.7299504,120.3956278,107.4648366,110.9628114,104.80766
Drd3,179.6353576,138.1283003,141.1169193,151.5108228,139.7391474,124.1125497,131.9175545,130.0303261
#N/A,124.511863,112.1274126,101.0067246,114.3321518,105.2130215,92.51940814,80.62482776,94.5950898
Ephb3,58.69376649,47.35040808,48.55221849,56.27742199,46.03856095,49.47697222,58.52237246,52.30052309
Hsph1,49.94996638,34.98280209,50.89633648,32.70331693,60.0185474,43.29492324,31.26565181,36.65125111
#N/A,27.55636054,33.33094183,37.39849142,34.0170075,42.99009186,45.51378892,39.41672221,37.29884079
Mdm2,681.8842257,492.1984181,591.7997935,528.2786343,710.7537897,606.9545645,444.0048823,531.5052629
#N/A,382.6853485,373.9020206,443.473326,365.66326,479.3085271,461.1463483,383.6096087,404.1827495
#N/A,355.2855741,291.4196188,399.0236436,404.1687013,448.2602932,408.1008424,345.7733562,366.42286
Tmem194,443.8108434,305.4304768,444.9915175,518.0694268,555.8646353,501.9406952,391.4581797,449.7160244
Fkbp2,1060.329285,1065.870537,1011.796088,1012.912641,1038.101651,1118.70222,1088.432776,1041.040434
#N/A,351.0352192,389.0604681,391.5655853,399.5107717,385.589566,522.2730668,512.8461936,509.9620177
Nedd8,241.1529273,215.7106984,227.8179959,239.816783,228.2778243,219.4979255,258.6789116,189.0986049
#N/A,255.783413,201.159438,241.054647,297.349373,280.245651,265.8548722,237.7546527,221.8847792
Cyb5r1,646.3210091,448.2457858,613.5108122,578.805616,632.3947173,536.8461512,582.9789381,503.0799664
Hsp90b1,238.3042583,111.8180483,291.4367315,144.1609744,660.8265683,228.9343613,228.9218169,161.9792017
Ndufs1,91.09241195,51.8872286,60.25024695,51.73812681,80.4949612,54.34805918,56.03656803,55.94662107
Sumo1,59.10843533,45.26887912,55.90467715,44.47604926,66.8185182,58.34599236,44.78225239,63.00406399
#N/A,69.44294546,65.74381155,73.83268759,66.31696758,81.85644927,65.96096579,61.47924838,63.91745179
#N/A,178.4923552,132.0454046,139.513829,178.960253,131.4838234,139.5020253,204.79234,135.8762815
Ndufa4l2,126.287318,74.45604869,91.5158919,113.1705567,105.5928774,96.746882,85.41040295,82.70605073
Atp2a2,1908.553407,1906.702966,1634.250356,1138.606952,1049.319268,1392.474939,2037.074037,1651.173713
Ndufab1,363.0772293,557.0466303,432.5324476,395.449614,372.2020644,441.342157,343.0146553,476.035725
Rab3b,101.9306637,191.8908729,168.0867588,239.3156469,144.4110732,172.8204294,225.0136433,230.604928
Rab3b,662.5627635,885.8652924,923.043491,1056.950759,854.9956614,893.5085507,930.6248933,1121.336427
Pafah1b1,455.022489,604.3949878,694.8749817,713.5641145,731.1445096,705.8920402,435.5368477,561.1821855
#N/A,64.7636909,44.85730013,45.56924346,44.85531325,39.14662937,38.55654028,52.71659251,42.98974443
Top1,696.1815865,437.8434506,575.1711067,422.5802965,600.2329473,512.049975,465.4142514,600.3631718
Dnaja4,329.9414579,267.4342579,237.6340497,191.6016139,228.1940333,194.9913174,276.289561,234.8076096
Ung,191.1794681,177.4523547,160.4669801,202.6571053,160.9400042,133.8475524,167.8181948,149.5215624
Pdcd10,827.0063004,615.1852717,680.5055884,611.2984109,680.395942,569.0873796,803.9343653,670.7447514
