gene,nOPCs_mean,aOPCs_mean,aOLs_mean,activatedaOPCs_mean,non_activatedaOPCs_mean
GE_BrightCorner,13.88241417,14.05903269,14.15719884,13.22868247,13.45536856
GE_BrightCorner,13.8665701,14.10424641,14.16429196,13.3670538,13.36022453
DarkCorner,8.558324266,8.780897021,8.784225057,9.577858993,9.134883938
DarkCorner,8.604153617,8.685649701,8.682091553,8.884778355,8.987983179
DarkCorner,8.709196036,8.7321435,8.783685475,9.186932778,8.918230117
DarkCorner,8.731740738,8.823487025,8.627787799,8.823688686,9.007308559
DarkCorner,8.664446616,8.91542442,8.789122277,8.746250667,8.911450904
DarkCorner,8.771959353,8.825024942,8.852137375,8.781989823,9.163721199
DarkCorner,8.957449148,8.839452893,8.665634363,8.818813399,9.569506806
DarkCorner,8.622432176,8.750572591,8.612693083,8.851807313,8.967540785
DarkCorner,8.758773563,8.826927404,8.676766822,8.877740127,8.776745561
DarkCorner,8.759953423,8.815058119,8.855699691,9.145706176,8.888523828
DarkCorner,8.875608961,8.713666132,8.817377593,9.627680758,9.191145431
DarkCorner,8.697302962,8.751539823,8.682566937,9.134058065,8.898747256
DarkCorner,8.554560197,8.734759836,8.76969481,9.030545486,8.955292925
DarkCorner,8.661654558,8.664637133,8.783506243,8.806176249,8.934250084
DarkCorner,8.751124611,8.774050257,8.754139372,9.084876968,9.140405269
DarkCorner,8.912143068,8.73954629,8.82320991,8.922991194,9.010423151
DarkCorner,8.775771766,8.730523154,8.72294709,8.857334778,9.280179625
Arhgef16,8.704001206,8.902810866,9.109057668,9.341586036,8.950425129
LOC641172,8.736775369,8.884588795,8.720162355,9.234025318,8.928474639
Mrps18b,9.018843014,9.522499606,9.336805871,10.18937897,9.744933623
Lrrn1,11.45581062,12.94751584,12.92946583,12.22493238,13.09459866
0,8.815633217,8.941258781,8.849023538,9.127931728,8.939479687
0,8.955553724,8.965113317,9.08260874,9.137428999,8.815924673
0,8.91849781,8.851712202,8.976440261,9.091750703,9.043139795
0,9.258474624,9.462577245,9.482123294,9.420362074,9.613241249
Ostf1,12.58300277,11.37660974,11.26357454,11.24388756,11.19793836
BC048943,9.024497607,8.799944065,8.846300441,9.240470978,8.814960233
Serinc5,13.12973222,14.5537704,14.12195537,14.09749063,14.44492409
Ang,9.089239453,9.174263841,9.147163386,9.308051551,9.09020284
Gm2273,8.840836753,8.721259865,8.917045594,9.08490169,8.976660915
Prrx2,11.98430949,9.911349483,8.948786844,9.780230091,9.3438967
Ccdc88a,9.783050985,10.42515932,10.71418183,10.11065537,10.62554931
Arl15,10.73234687,9.693187314,9.631307908,9.55375629,9.47844825
Shmt1,8.871657525,8.921632541,9.099280227,8.955496539,9.014722548
Nat2,9.050965172,9.314090544,9.420035983,9.255049443,9.407326064
0,9.659201936,9.410406693,9.344728777,9.089762301,9.257657903
Nps,8.801980213,8.848968452,8.846665925,8.913932967,9.556251258
Pcsk2,9.414411174,9.092193569,9.090576574,9.047556915,8.969466082
Srrt,9.244038836,9.675417307,9.717698542,9.816385694,10.11275451
Pigc,9.123971925,9.669511621,9.726893039,9.457914332,9.817739625
Ndufa9,12.62798472,12.52023349,12.24646389,12.97038307,12.13402191
Ier3ip1,13.87300496,13.33752438,13.55716309,13.43684202,13.18355161
Olfr357,8.940783495,9.109477457,8.81356464,9.194596407,9.048122977
Popdc3,8.707658911,8.857404798,8.968692391,8.971746026,9.049055445
