gene,neonatal_OPCs_Mean,adult_OPCs_Mean,adult_oligodendrocytes_Mean
GE_BrightCorner,11494.74348,13184.10872,14103.81463
DarkCorner,189.7386286,203.933674,194.9309279
Arhgef16,186.7902236,211.06627,244.7917655
LOC641172,187.2738385,210.0180036,186.1553027
Mrps18b,229.5936906,344.3021977,296.706788
Lrrn1,2236.229886,5465.65742,5338.549167
0,197.8803058,216.7396591,202.2156884
0,218.9536885,223.0421384,281.5131555
0,212.70101,204.9205816,221.9821389
0,292.4095145,321.197955,326.1260707
Ostf1,4095.221047,1633.348019,1472.283226
BC048943,230.2228006,195.6345148,203.1648909
Serinc5,7289.623605,20892.50911,14568.8456
Ang,241.4423473,259.6067527,252.5248957
Gm2273,202.7888594,189.2803198,214.7740193
Prrx2,2704.935416,495.4129916,218.18605
Ccdc88a,444.1699994,741.1835645,947.8122607
Arl15,1129.960838,407.8901311,405.83715
Shmt1,210.5220682,216.386557,243.5275318
Nat2,231.0126875,288.8579821,283.474808
0,392.3950161,316.5297566,295.4519625
Nps,200.6841152,202.5369766,202.9106045
Pcsk2,319.7468167,242.6358027,242.7587364
Srrt,276.8214312,386.8525625,403.0217668
Pigc,248.7378264,385.1006318,402.349533
Ndufa9,4398.038006,3959.289123,3162.989748
Ier3ip1,10868.83136,7331.107,8612.100577
Olfr357,217.2457992,255.6975061,198.0010443
Popdc3,184.2810673,205.0862861,224.1777977
Sec61b,1129.423678,785.116097,795.9812573
Gm5115,272.3090012,329.5360175,291.1573141
Map3k7ip3,500.4136821,417.0316227,400.9387723
Gfpt1,3500.369307,1937.259128,1620.068253
Sergef,432.2800876,380.7265198,413.1542105
0,555.4549421,613.541622,683.547743
Mul1,776.0669848,1133.626456,1360.790417
Olfr1080,202.5094761,197.9929468,205.3950825
0,229.8627597,203.6064964,231.7429839
NA,183.6997955,182.0215936,176.3770389
Stk4,267.0403976,335.1382273,435.5984398
Mnt,5454.330245,4467.939783,4452.425224
Trim45,241.2083173,199.5491495,216.3051411
Zwilch,1415.453464,348.8528068,310.5088884
Gm7496,1067.133248,1047.192257,1031.253458
Gm3035,250.3604752,244.4391693,263.3691852
Cd97,2364.293398,429.1126743,342.4033072
A430093F15Rik,223.3006906,232.7276143,223.9752661
Gpr149,217.2592087,200.615425,202.229119
Magea9,249.5218233,196.3110836,214.3104389
0,244.6909342,197.4295505,222.0628736
Akirin2,4046.252944,3857.388761,4136.879602
ETG09_205211,218.2716726,225.5388072,211.5629634
Fam122c,234.0444548,268.312097,220.549435
0,960.914513,1238.571095,1301.336157
4921515J06Rik,209.9395345,285.2404448,200.0747209
0,15823.85372,6936.065845,6719.462552
Cryl1,1576.78148,360.2294923,266.5565934
Gm5112,225.4748755,191.8129643,209.9059541
Cyp2c39,224.4069621,205.7620443,207.62712
6330527O06Rik,206.6745553,205.5876478,204.9155169
4930429F11Rik,245.1921482,214.2040716,202.9595645
LOC633908,56624.71564,33673.93703,31165.44016
Gaa,283.8785576,250.239842,263.3352141
Olfr1036,214.8320412,227.8494032,221.7908983
39692,17944.33561,12759.66453,9614.310041
Ccl3,407.3951691,264.7919418,331.2334891
Pou1f1,17174.96183,18280.03349,13367.07342
Gabarap,3003.69118,5028.297363,4095.920314
4930455C21Rik,22923.62293,11284.83657,12988.19447
Ppa1,1898.67403,795.4459561,850.3405155
Gm5447,331.7829476,232.6869827,226.6103907
Ube2j1,508.9266455,395.3275789,424.9546439
Snw1,1568.427606,2417.1631,2209.944294
Pcbd1,586.8646485,261.3319941,232.5047518
Patl2,243.5735965,201.4093243,218.5462805
Olfr1132,273.9015673,228.0616866,188.760307
0,271.0929094,198.0821498,228.1613655
Krtap8-2,456.9593727,293.1691793,334.90657
Slc2a2,8960.086631,201.4447634,204.4880232
Adra1b,3249.10156,2746.452937,1996.855594
Tsen34,21838.21721,15209.22157,12021.33702
Gnptab,2839.485521,5759.429011,5082.255211
0,347.9087473,269.4311332,272.649802
Ankrd40,274.2384694,250.3101582,239.230877
LOC544818,263.9126809,263.0226509,265.9393264
Obox1,251.3100361,199.0017268,202.5017691
Cnr1,470.3956467,218.3678207,211.95164
4932439E07Rik,361.8423888,349.5499155,353.023185
Larp1,574.2245521,655.6827009,654.2931159
Trmt11,893.458823,797.3843907,779.1633682
Atad2,767.35781,253.6493936,286.1436632
Olfr763,305.1199294,219.1457295,216.570571
C230073G13Rik,286.404463,218.4979909,217.8341027
0,254.5124348,220.3025482,242.6194493
Ppp1r1c,236.3196621,208.0989993,243.2982355
Ccdc76,948.3578879,921.2827807,1100.326703
Kcnn2,275.7498945,246.4373436,246.6648412
LOC100047590,281.2502021,231.5131095,258.0028868
Sox17,295.0428876,214.1196201,230.3872642
Gm3006,30203.39855,23731.02318,32401.42953
Ntrk2,5649.896094,759.6723957,832.7071759
Acss3,275.0414382,213.7127484,227.5290766
Gm6109,31034.65155,18865.41519,18634.85535
Spag4,272.7079,228.3842941,211.1690293
1700047E10Rik,253.6706618,310.1654573,237.2886625
Olfr1466,790.92206,1296.28457,1597.331434
Dap3,1887.983508,1792.826509,1631.242942
Rsph6a,258.3293994,216.568425,269.329298
Tmx4,646.9291324,501.5614152,445.123758
4931406E20Rik,1451.841319,606.5239143,533.254715
Hjurp,427.4727303,274.4761748,323.8097702
Nfat5,656.2311239,573.7219591,788.5416491
E030019B13Rik,252.4183227,204.8144636,235.2897464
Raver1,28955.65328,31109.64654,32199.79339
(+)E1A_r60_a97,219.5504699,213.4028802,216.9241502
Ang4,297.4712776,268.8009136,292.687655
Dok2,336.0651315,249.6147359,264.1308352
Casz1,287.5288588,300.667203,299.33894
Gm5591,249.5391761,256.3410155,211.3648402
