gene	activatedaOPCs_mean	non_activatedaOPCs_mean
GE_BrightCorner	16427.90108	17850.00865
DarkCorner	909.3841942	921.5083717
Arhgef16	1305.276115	950.0993686
LOC641172	1186.44253	918.4398362
Mrps18b	2264.423396	1598.718151
Lrrn1	7509.400279	13383.52031
0	1072.40295	923.5764952
0	1077.519107	852.6183057
0	1106.321831	999.2725412
0	1293.756508	1455.803476
Ostf1	3997.741207	3876.372586
BC048943	1285.787291	851.2204219
Serinc5	29690.50585	38371.05485
Ang	1193.63699	1022.790968
Gm2273	1082.887663	948.9013324
Prrx2	1662.096333	1217.883724
Ccdc88a	1961.916389	2742.38081
Arl15	1673.633227	1454.929209
Shmt1	936.757428	974.7585252
Nat2	1248.826203	1162.356132
0	1024.688336	1171.502
Nps	911.1442075	1533.472954
Pcsk2	999.6294239	946.5643519
Srrt	1653.075976	2004.374681
Pigc	1320.045544	1647.861546
Ndufa9	12201.85574	7070.299752
Ier3ip1	16434.76841	13978.59374
Olfr357	1113.302311	996.8558529
Popdc3	947.7801966	996.193175
Sec61b	2435.34025	2420.139895
Gm5115	1283.782895	1196.862444
Map3k7ip3	1319.917394	1708.8758
Gfpt1	3510.294296	4165.562138
Sergef	1896.103814	1512.401937
0	2091.846511	2174.478729
Mul1	3550.608136	2942.195629
Olfr1080	1153.522106	843.0786471
0	849.0423948	906.5553957
NA	818.9622675	796.3390912
Stk4	1331.262427	1176.035617
Mnt	14524.63948	8592.325429
Trim45	1240.293499	837.5215981
Zwilch	1569.359108	1489.15156
Gm7496	2230.713093	3736.688248
Gm3035	1130.629086	957.4184876
Cd97	1591.26287	1193.802506
A430093F15Rik	925.2439382	905.381461
Gpr149	953.8265481	928.4876134
Magea9	899.7380316	1064.342499
0	1136.659732	895.9970786
Akirin2	8385.403496	9089.894381
ETG09_205211	923.1415142	964.9578361
Fam122c	1069.813452	957.8682448
0	2743.762264	3528.751829
4921515J06Rik	996.7869382	994.8797376
0	23739.99968	18442.32852
Cryl1	1570.144747	1217.376607
Gm5112	1157.880558	893.6044371
Cyp2c39	1023.520876	1066.368125
6330527O06Rik	946.9468205	995.2846235
4930429F11Rik	1113.251043	996.5054167
LOC633908	65525.64652	47709.26114
Gaa	1206.316759	1223.99787
Olfr1036	992.1599639	1028.239468
39692	35740.93239	24484.7079
Ccl3	3195.944454	1235.130636
Pou1f1	20542.71214	21283.11805
Gabarap	10987.6513	11620.543
4930455C21Rik	13649.15075	10698.9739
Ppa1	3376.725532	2763.727114
Gm5447	977.8673461	1239.13447
Ube2j1	1589.580245	1308.301378
Snw1	4219.930623	4572.018483
Pcbd1	1162.701212	901.2413524
Patl2	1131.226325	960.1685438
Olfr1132	1030.176875	874.5025024
0	987.6983679	870.074561
Krtap8-2	1181.297971	1164.896351
Slc2a2	1109.294905	971.3260171
Adra1b	4527.912314	4626.239762
Tsen34	26807.90818	27379.75581
Gnptab	6002.769111	11015.76912
0	1060.76656	1252.539936
Ankrd40	910.9563836	1010.082254
LOC544818	1040.160272	1116.927284
Obox1	947.0147089	897.1776252
Cnr1	1117.898978	887.955436
4932439E07Rik	1045.467333	1557.400962
Larp1	2203.167061	2190.32389
Trmt11	2144.412043	2625.651962
Atad2	1106.330737	862.0778433
Olfr763	1195.097	856.7126276
C230073G13Rik	1402.75682	1059.614637
0	1126.578657	920.2543567
Ppp1r1c	938.890555	1204.945797
Ccdc76	2097.4947	2890.501771
Kcnn2	948.9759031	1020.236028
LOC100047590	892.116435	1091.96628
Sox17	880.2589311	905.12544
Gm3006	24351.13029	39808.291
Ntrk2	3073.716218	1797.959495
Acss3	913.3845773	915.2052314
Gm6109	54898.53879	38622.12924
Spag4	1093.26174	863.2182405
1700047E10Rik	1082.258702	894.6435943
Olfr1466	2943.555486	2114.542967
Dap3	6269.908075	4895.497381
Rsph6a	1006.98623	884.9440162
Tmx4	1716.933988	1995.97681
4931406E20Rik	1865.654911	2010.153957
Hjurp	989.7209318	1221.705683
Nfat5	1288.152206	2027.722676
E030019B13Rik	943.6777061	1202.813064
Raver1	31745.85193	39009.15829
(+)E1A_r60_a97	951.2150765	985.2797413
Ang4	1163.644993	1130.926197
Dok2	1066.533793	1573.812565
Casz1	1028.231911	1021.378761
Gm5591	935.4430954	939.29399
Csf2	1003.378456	1074.99344
Gmeb2	1311.89683	1289.10249
0	2007.239298	1505.13194
LOC100039380	1164.236369	1355.912883
Gm10904	947.8586396	1141.094773
Vmn2r75	1085.803995	1206.610674
0	1384.474138	979.9236524
Apoa1	930.9693429	932.7819633
Stat5b	2485.448921	2354.765271
0	6092.755943	8828.683271
LOC100047293	1027.017326	886.1032471
Lce1b	964.5969849	936.539328
LOC100046302	916.7231539	971.6910638
0	893.0796768	1030.946676
Pet2	847.6798825	925.4764333
Slc12a7	1705.64233	1541.779889
Bai1	23297.52918	45915.40105
Rps25	1036.512939	942.4475724
Gabra4	889.2025464	962.3762233
Pvalb	1290.744369	1132.553995
Mare	3269.647711	3845.232195
1700048M11Rik	1319.623797	1723.267608
LOC632383	10169.86143	8625.18139
Ldoc1l	2513.139086	2740.425305
Denr	3482.450582	3593.040019
0	860.8719746	997.7348014
0	3675.224186	5242.481724
0	9031.9752	6968.02799
4930519F16Rik	1134.909041	964.6300295
Ube2e2	12589.03699	16895.88305
ERCC-00062_278	1092.515877	991.1333966
Napepld	1939.932354	3521.468248
Gm7767	2632.105179	3628.802076
Fbxw11	15077.75456	13734.02146
Cir1	1088.876682	1084.366709
LOC100043974	1011.553756	994.8423486
Abcc3	1317.768783	896.9938295
Neil1	1154.208527	1323.28417
Masp2	1239.868025	919.605406
Ccdc65	1050.742963	869.5799781
Gm10565	1201.581909	989.4366667
Gm5840	1005.491753	904.4190824
Polr2e	3265.169507	3229.233957
0	3524.771864	3243.317557
Hdlbp	3004.593896	3642.11799
Dapl1	1014.438459	961.9804157
Camk1	1240.54422	1538.680743
2010106G01Rik	3054.124468	3783.768348
Dtx3l	1155.232013	1104.199223
Lingo3	1242.208957	1129.526543
0	1527.844064	1002.942265
(-)3xSLv1	941.4128258	942.6069821
0	3723.198471	1721.395705
Grrp1	1024.806934	1018.199944
2010110P09Rik	1013.858761	902.7805643
Gm5450	51929.26129	46822.95886
Mpzl2	2010.312486	1270.255981
Rint1	3691.425489	4513.263381
Defa21	1023.421948	841.0079281
Dhrs4	1384.754211	1454.647628
Atl2	1416.359142	1244.816769
Ephb6	1042.744156	1326.259417
Gpn2	2596.422468	2178.407524
Adprh	10584.16124	10131.45204
0	982.259492	919.0555452
Slc6a20a	1226.621177	1106.613316
Spesp1	904.6014449	985.7576308
Rs1	40570.11864	58703.41333
Mrpl34	4363.209556	4109.267623
Prssl1	983.306805	897.3209164
Atp1b3	18595.09382	44221.51438
Hprt	5609.955818	6171.654252
Aspa	21227.29979	56728.15319
Ctbp2	1771.961221	1239.320843
5730469M10Rik	7301.181957	20723.84898
Bnip3	12236.24635	15410.53906
Nudt15	1067.491354	975.3615224
Gspt2	1585.496673	1648.472264
Kctd20	2616.910157	2401.153129
Gsta4	1049.897408	976.1819108
Bloc1s2	9068.012157	8292.413067
Naa30	2097.08536	2075.521405
Olfr487	934.1937421	977.612959
Tspan17	3273.584464	3499.179781
Mex3c	4579.151361	4301.501614
C130030J05	941.1376786	991.5095819
Cxcl11	65525.64652	65522.45571
Trim71	1235.19036	1180.334316
LOC100046741	998.2053729	1015.368238
5031434C07Rik	1211.607682	877.9769757
Phax	2904.381111	2534.341695
Klhdc5	1992.864599	2021.76257
0	14400.34358	18035.15352
0	1210.924481	861.2805976
Hspb6	1764.99295	1364.9859
0610009E02Rik	1731.60337	1208.3653
3110021N24Rik	923.7230921	1018.619315
Trim21	1490.71483	1272.421679
Asph	1082.577014	1096.76337
D6Wsu163e	1672.661932	1657.370719
Csf1	8428.790758	11512.76059
Pira6	957.6912279	796.5372329
Zfp595	1024.232946	1200.883478
Tspan4	3034.432711	1014.190383
2210012G02Rik	1096.386709	1164.378788
Nceh1	8766.973636	6638.400186
0	862.4686989	947.6146986
4930544M13Rik	967.6294271	799.3858114
Cdk7	1414.241691	1395.323089
E130309D14Rik	912.8495439	949.503561
0	2146.016221	2322.174495
0	1285.41252	1000.110724
0	1615.070206	1016.518032
Wdr36	1632.07137	1421.400905
BC024137	1186.27367	937.7601655
Hoxb1	915.5555887	949.4894904
Brunol4	1240.504799	1139.987271
4930520P13Rik	1251.487823	1198.797391
Ppp1r8	2250.210882	1847.469033
Dnajb9	2073.114241	1486.812901
Ccr3	915.5355096	1019.8173
Gm12866	1329.993828	852.734216
Nsd1	7551.036389	8214.350076
0	3166.866464	2779.0595
0	4818.351336	6793.730957
D530049N12Rik	902.4388296	948.0020667
Fbxo2	13889.52243	35099.71986
Mtap7d1	47420.01936	65522.45571
LOC100046257	1038.554057	936.5537538
Cd3e	1850.4161	1601.490486
Gm8364	1023.889633	921.0239676
Parp16	1094.655861	921.2074519
Atp6v1c2	1004.30563	901.42906
Speer4a	1207.032121	1372.127354
4930434E21Rik	966.8175482	834.2469995
Dok3	1476.35253	1184.579601
Dhx40	1484.517798	1598.869462
Zbtb7b	1696.30133	1070.250394
Gm10105	1308.77863	1654.942711
AU023639	1001.907927	1183.412907
0	1100.288073	1239.183951
E030042N06Rik	1067.242361	1004.315731
Hoxc12	1164.58792	992.3939757
Ttll13	1018.543771	1041.86784
ERCC-00043_129	939.6156549	923.3856237
0	1487.326891	1327.82843
Pgr	987.8790814	909.3553167
Rasa1	1746.105951	1899.644281
Mixl1	1123.842173	967.1618136
Olfr186	927.0480118	918.2855533
1110031I02Rik	4677.223507	5792.345386
Kpna3	2408.333182	2265.825452
Ppp2r5a	16880.22363	24075.56748
Treh	982.045138	910.7964783
Gm12670	1092.587654	887.4840129
LOC100046427	1142.227153	970.9535929
Prdx4	4326.408332	4481.366819
0	23507.7738	28084.58295
Tnfaip3	2616.721054	996.1014214
Arhgef6	1545.136416	1195.979512
Ccdc121	1079.443157	1245.47126
Gad2	1000.698924	1364.751478
Carhsp1	22944.63956	33399.55281
Gm5494	1104.953497	880.08538
Gm2745	1087.026802	840.4123379
Rps29	64667.32202	56926.60352
Ccdc93	1065.074904	1120.484308
Cyp4a31	1391.012886	1091.244867
Rccd1	1762.508536	1983.742386
9130024F11Rik	1022.960554	886.0940438
Col8a2	930.00312	846.9160481
Capn10	3560.245536	3336.159062
0	959.3845457	1076.209532
0	7731.412339	9859.720871
Fahd2a	2047.59705	2747.760686
Lass5	14499.62838	12665.0968
AA419673	791.7776114	932.2902586
2900073C17Rik	1246.349666	975.1145876
0	970.1239859	943.5436014
0	996.8381464	1939.213686
0	1025.852201	1026.381143
Ogdhl	1133.547353	1213.562471
Gm11985	1399.596737	868.9646905
Ttc30a1	1113.004408	1191.37371
Mupcdh	942.7845727	777.6168
Gas7	1338.250026	1604.483588
Zfp182	2222.4184	4178.3015
Tll1	984.026565	1201.147772
Gcap14	7097.231082	6256.633229
Eif1	65525.64652	64945.91219
C1qc	5931.292803	1242.86257
D930015E06Rik	1828.110832	929.7637419
Pcx	11130.03093	19456.12352
Sv2c	1073.439091	909.6448195
Tcl1	903.0689227	842.3291405
C530025M09Rik	901.5382755	855.4492552
Tex261	9736.799811	9960.147767
4930470G03Rik	1162.871668	1011.769237
Ppm1d	2688.809057	2493.366386
LOC100045981	58124.68957	65522.45571
Hapln3	1015.367749	1168.457359
LOC100045367	65525.64652	65522.45571
Gm2587	1637.39535	1251.21477
Trim43c	890.9314661	977.5937633
Tcfeb	3302.960107	3529.766148
0	53114.67807	27179.63176
Fam40a	1157.692434	1099.866156
Pqbp1	1161.922855	1400.831429
0	1015.019084	954.6007476
Sec22a	904.2781914	935.68596
Lca5l	1019.515135	902.148355
Ppp2r2c	8162.9849	22849.65636
Gm12863	947.4394314	922.5844929
LOC675614	917.8301945	877.3997721
Ppp5c	4187.021493	5551.038314
Slc35a2	3363.195475	4613.721943
Olfr520	911.4465889	1074.064904
Kcnq2	834.8502511	1165.159346
Cenpe	1445.079267	2458.717967
Gm9558	882.0950118	973.4426062
8430436N08Rik	912.8419054	945.6829926
Fads6	1110.535608	3094.350514
Siglecg	892.4567475	1009.223392
Gcg	983.3516961	1023.938457
Banf1	3704.320029	2966.788838
Cyp3a13	2073.696979	3533.367019
Esr1	1026.99695	975.5651228
Plxna1	1736.911928	1797.762267
Rnaseh2b	3567.9403	3756.239867
Gm15645	2035.521289	2069.293788
LOC665985	980.4947821	1042.799773
Hdc	1108.439243	1027.569527
0	1287.431355	1759.340556
Defb28	1186.142579	1008.748358
Pyroxd1	1719.777639	1778.937505
0	836.0133488	1020.379022
Fh1	10344.90392	9726.995319
0	846.4487364	889.900021
Actbl2	990.8208696	967.69621
Gm5088	977.4233305	931.4236438
Kcne3	1002.346456	933.9134748
Ltb4r2	971.8079921	1027.708718
Il24	962.3122725	961.7348167
Gm3610	824.2215586	984.8556867
Mrps35	1788.421084	1862.225464
0	943.2575129	1045.874182
Mlx	1912.679671	2219.543943
Fbxo30	1626.899463	1715.598271
Apol10a	829.17811	969.3922762
Cdc26	3427.503696	4039.245295
Mtvr2	18790.92471	8384.309286
Map3k15	916.4623889	903.8213781
Rab3d	1008.10991	1102.753849
Creld2	12298.95615	14177.31495
Gm4925	1042.943474	905.3663036
Gm4547	946.9817829	973.7896505
Il31ra	852.0498582	886.7134343
Cdkl4	842.6245943	927.6212957
Glyr1	6267.519864	5018.66111
Gm4952	800.9334918	928.268951
Lsamp	1212.84328	1047.926779
(+)E1A_r60_n11	956.672714	958.6998975
Kdm5c	7031.531154	8360.522048
Tcf3	3507.951625	3278.529852
Sly	1042.832833	795.6807924
Clec11a	1118.088231	942.4870567
0	1076.619667	1759.369772
Frg1	4072.766696	3676.94821
4930563E22Rik	1225.412133	1202.690529
Acss2	1243.559826	1930.130557
Srp54c	13704.46964	13891.29014
Morf4l2	2072.354361	1684.936114
4932431P20Rik	3655.846839	5962.7451
0	953.5753093	914.547379
AW146154	2355.392546	3091.4787
Hpca	1269.595494	1290.11471
Mbl2	1081.950036	808.8241333
0	1198.065382	1517.367984
ENSMUSG00000054541	1137.027326	826.9118781
Copg	1014.289512	1136.406873
Rpl27a	54663.67364	39451.04757
