gene,Human_GBM_peritumor_astrocytes,Human_sclerotic_hippocampi_astrocytes,Human_fetal_astrocytes,Human_mature_astrocytes
1/2-SBSRNA4,0.1,0.1,0.1,0.1
A1BG,0.1,0.1,0.1,0.1
A1BG-AS1,0.51926175,0.208412,0.108628833,0.16600475
A1CF,0.054853043,0.079011925,0.084238387,0.1
A2LD1,0.993831,0.45636375,0.293806667,1.218443083
A2M,29.15353975,28.05808,1.3777275,6.165393333
A2ML1,0.76989225,1.34963425,0.8068275,3.65426
A2MP1,0.1,0.181271775,0.1,0.16298575
A4GALT,0.1,0.11441825,0.1,0.102152167
A4GNT,0.07073095,0.1,0.1,0.118345667
AA06,0.1,0.1,0.1,0.1
AAA1,0.19729655,0.1,0.1,0.1
AAAS,3.31665025,4.022796,6.042676667,3.54088525
AACS,0.3169485,0.79629175,1.338771667,0.457065833
AACSP1,0.456435,0.1,0.380102767,0.1
AADAC,0.1,0.1,0.1,0.1
AADACL2,0.1,0.1,0.1,0.1
AADACL3,0.1,0.1,0.1,0.1
AADACL4,0.1,0.1,0.1,0.1
AADAT,3.8705175,6.0545825,4.241973333,10.49242
AAGAB,1.4349625,0.85087975,1.348191667,1.2734295
AAK1,2.005673,3.2789,2.305523333,2.499106667
AAMP,0.8645885,1.91255375,1.206683333,2.119448583
AANAT,0.1,0.0737007,0.093385317,0.1
AARS,8.18846,12.7173925,4.481785,9.693888333
AARS2,0.623083,0.2704835,1.813115,0.402642833
AARSD1,1.079982,0.795879,2.994318333,1.0388375
AASDH,1.847505,3.1713425,1.34186,4.801941667
AASDHPPT,6.0888625,6.573635,3.603288333,4.117609167
AASS,6.494575,8.4023675,13.25915667,10.4961425
AATF,5.3368485,5.4329325,7.673508333,4.8445025
AATK,0.097726925,2.19042525,0.103006,0.280414833
AATK-AS1,0.1,0.088558125,0.1,0.1
ABAT,19.373675,12.0021175,16.76443167,22.10444167
ABCA1,19.001465,7.5167675,2.132476167,12.2032325
ABCA10,0.1,0.1,0.1,0.1
ABCA11P,0.7676225,0.9145625,0.545983333,1.451700167
ABCA12,0.06750385,0.066551205,0.2805725,0.122524167
ABCA13,0.07893075,0.0579746,0.083816812,0.1
ABCA17P,0.0778988,0.08603815,0.08539615,0.1
ABCA2,0.49814675,6.14521725,0.805005167,0.526833333
ABCA3,1.12530775,2.00873625,1.329203833,2.028906417
ABCA4,0.180346708,0.1,0.096020483,0.17021225
ABCA5,0.49497275,0.876712,0.516988,0.1443075
ABCA6,0.0869595,0.74251725,0.1,0.100399667
ABCA7,0.056124625,0.058981075,0.139661167,0.1
ABCA8,1.462308675,17.6080475,0.238124167,0.460838917
ABCA9,0.0785955,0.080755375,0.084680598,0.102795417
ABCB1,0.038809125,0.079928325,0.33361595,0.109995167
ABCB10,1.6880375,0.77140225,1.083115833,1.4796215
ABCB11,0.0792836,0.094911775,0.200804,0.1
ABCB4,0.1621651,0.116306,0.2499495,0.104068
ABCB5,0.1,0.1,0.1,0.1
ABCB6,1.131886,1.241577,1.296601667,1.484490917
ABCB7,3.75499025,2.9710575,3.688233333,3.443425
ABCB8,0.32092625,0.45526325,1.133761333,0.390693917
ABCB9,0.119161375,0.10734325,0.1958802,0.30956525
ABCC1,0.8088645,0.37263775,0.674248667,0.3146525
ABCC10,0.26273175,0.39099475,0.959565667,0.253827583
ABCC11,0.06607085,0.11505285,0.1,0.1847165
ABCC12,0.07921765,0.1,0.1,0.1
ABCC13,0.1,0.10444325,0.1,0.1
ABCC2,0.06210325,0.08181545,0.112150333,0.1
ABCC3,4.8141275,0.09403875,0.1,0.1
ABCC4,1.028014225,1.59112275,1.731237,0.575988417
ABCC5,3.326205,4.6633275,3.810346667,1.812873417
ABCC6,0.242849,0.2726872,0.208121667,0.67120925
ABCC6P1,0.2405641,0.32541775,0.218035083,0.102371
ABCC6P2,0.25060675,0.1421215,0.61035,0.4033
ABCC8,0.42878475,0.765953,0.206299233,0.863517583
ABCC9,1.674037225,4.407155,1.913902167,10.26905667
ABCD1,0.051013425,0.07127185,0.373703167,0.101254917
ABCD2,1.95256775,2.391241,1.066194833,9.287365
ABCD3,6.360915,6.880805,9.586518333,8.1937075
ABCD4,2.1382225,2.4899475,1.841551667,2.905600417
ABCE1,5.8101,5.8488175,3.677803333,3.234494167
ABCF1,0.71208825,0.51292125,1.106096,0.425993917
ABCF1,0.7161955,0.548666,1.091345833,0.415346
ABCF1,0.717761,0.5320495,1.106062667,0.413929083
ABCF1,0.70667375,0.53395775,1.132973,0.4218705
ABCF1,0.7074345,0.514317,1.177907833,0.416670667
ABCF1,0.71912625,0.55796175,1.175980333,0.412633
ABCF1,0.719031,0.54563575,1.2770195,0.41606375
ABCF2,2.64858325,4.07103,3.651926667,2.556968333
ABCF3,1.126805,1.4622435,1.5463315,1.185389417
ABCG1,0.320481,6.20768,0.171043833,0.48416025
ABCG2,0.31904575,0.60801825,0.108606333,0.235270583
ABCG4,0.1,0.116494025,0.1002225,0.164174667
ABCG5,0.062286025,0.13138775,0.086576567,0.117294417
ABCG8,0.06266125,0.1,0.086675633,0.1
ABHD1,0.1,0.1,0.640578333,0.155276667
ABHD10,4.39495,5.03582,2.598731667,6.4553225
ABHD11,1.1826555,0.96649625,0.525993333,1.48351275
ABHD11-AS1,0.1,0.1,0.1,0.10626025
ABHD12,3.5857955,4.1682875,2.275235,1.500293167
ABHD12B,0.48309,1.77667,0.370736667,0.173672583
ABHD13,0.6975235,1.1294925,1.092695,0.84627575
ABHD14A,0.793906,1.37959825,1.075248333,1.180121333
ABHD14A-ACY1,0.143262,0.1,0.1,0.1
ABHD14B,0.67535075,0.5611135,0.427810833,0.916379167
ABHD15,0.43633525,1.23146975,0.6192685,1.20682425
ABHD16A,0.274604275,0.28257775,0.315664167,0.313423417
ABHD16A,0.288855,0.28257775,0.3166025,0.316048
ABHD16A,0.303722025,0.34728475,0.3225025,0.31807625
ABHD16A,0.324993,0.3625915,0.317774833,0.315168167
ABHD16A,0.31736875,0.37393125,0.314965167,0.308622167
ABHD16A,0.313739275,0.3515445,0.320369333,0.309099917
ABHD16A,0.32246175,0.3696715,0.314344333,0.305737667
ABHD16B,0.08961845,0.1,0.088572483,0.102204917
ABHD2,22.11585,23.044475,7.772555,19.387325
ABHD3,3.57918,3.918235,4.863098333,8.750065
ABHD4,9.503875,4.9301875,3.459901667,6.220310833
ABHD5,2.65245775,3.93361,0.787416,3.240030833
ABHD6,1.0533205,4.39187,0.887501667,2.437724167
ABHD8,0.067224325,0.098622225,0.1,0.10415275
ABI1,15.303045,11.692535,7.80571,24.85285
ABI2,22.31915,18.763725,24.67388333,24.514125
ABI3,0.1,0.470955,0.100781333,0.124297
ABI3BP,1.791533675,0.50326875,0.116057,0.354346917
ABL1,1.90692225,4.1049525,8.987973333,2.17513025
ABL2,2.55612925,4.720125,4.06862,1.949389167
ABLIM1,9.5213325,12.281865,2.377841667,39.95134167
ABLIM2,0.143781275,0.589145,0.770581167,0.271907667
ABLIM3,0.86090975,1.6501675,0.235471767,1.835526417
ABO,0.1,0.1,0.1,0.1
ABP1,0.1,0.1,0.1,0.1
ABR,4.785365,5.55343,6.805043333,11.66810583
ABRA,0.1155799,0.38249095,0.1,0.1
ABT1,0.6196065,0.74390775,2.456418333,0.630967917
ABTB1,0.08791325,0.33811375,0.509402833,0.166970833
ABTB2,0.5460785,2.9189175,4.53999,1.158568833
ACAA1,2.44133,4.2881725,5.31769,5.395145833
ACAA2,18.515425,20.706,12.77886667,56.02456667
ACACA,6.1569925,5.788455,8.651203333,6.089533333
ACACB,1.38194125,2.2080775,1.173444833,4.829904167
ACAD10,0.65901525,0.69763425,0.417337167,0.7504385
ACAD11,1.46586125,1.8071875,1.475018333,2.589035833
ACAD8,3.789815,4.102365,4.219068333,4.803918333
ACAD9,1.4567325,1.13478725,1.13569,1.332404417
ACADL,0.189613475,0.359351,2.1517895,0.920382333
ACADM,15.56195,10.51623,11.75428883,17.419275
ACADS,0.087881,0.10860425,0.097752833,0.140546667
ACADSB,1.697895,5.215655,0.897267,6.420755
ACADVL,5.3112375,10.26955,8.049993333,13.15200917
ACAN,0.0786065,0.034151398,0.122793767,0.1
ACAP1,0.1,0.1,0.3405,0.1
ACAP2,2.9353925,3.6776725,3.244425167,6.3720075
ACAP3,0.072798375,0.1545705,0.771830833,0.100603417
ACAT1,6.7627425,6.7287725,3.406103333,13.04904583
ACAT2,4.046249,10.162425,34.66506667,7.895674167
ACBD3,5.179675,4.36377,6.03569,4.52153
ACBD4,0.0911461,0.12538425,0.389262617,0.20489925
