gene,Human_mature_astrocytes,Human_Neurons,Human_Oligodendrocytes,Human_Microglia_Macrophage,Human_Endothelial,Human_Whole_Cortex
1/2-SBSRNA4,0.1,0.1,0.1,0.1,0.1,0.1
A1BG,0.1,0.1,0.1,0.1,0.1,0.1
A1BG-AS1,0.16600475,0.495489,0.1,0.2,0.1730215,0.08466125
A1CF,0.1,0.1,0.1,0.1,0.1,0.026141755
A2LD1,1.218443083,0.1,0.1,0.2,0.1,0.3700965
A2M,6.165393333,4.83071,35.361252,333.1,184.3125,8.21893
A2ML1,3.65426,0.137441,0.1282698,0.1,0.182105,0.226162175
A2MP1,0.16298575,0.233198,0.1190322,0.4,0.3261995,0.341992275
A4GALT,0.102152167,0.1,0.1,0.1,0.2469325,0.1
A4GNT,0.118345667,0.1,0.1,0.1,0.1,0.076753675
AA06,0.1,0.1,0.1,0.1,0.1,0.5847805
AAA1,0.1,0.1,0.1,0.1,0.1,0.060839
AAAS,3.54088525,0.752085,1.566184,0.8,2.627319,0.24584975
AACS,0.457065833,0.735021,0.2884456,0.2,0.110811,0.4800965
AACSP1,0.1,0.116824,0.1,0.1,0.1,0.0790228
AADAC,0.1,0.1,0.1,0.1,0.1,0.1
AADACL2,0.1,0.1,0.1,0.1,0.1,0.1
AADACL3,0.1,0.1,0.1,0.1,0.1,0.1
AADACL4,0.1,0.1,0.1,0.1,0.1,0.1
AADAT,10.49242,6.28792,4.077562,0.2,0.4271975,3.4892425
AAGAB,1.2734295,2.34514,0.8294382,1.1,0.4132665,0.70163275
AAK1,2.499106667,13.0861,1.593578,4.1,1.355055,5.0203275
AAMP,2.119448583,1.88682,1.952368,1.9,0.5970535,1.06249225
AANAT,0.1,0.1,0.1,0.3,0.1,0.1
AARS,9.693888333,9.99553,7.322628,3.8,1.8547,1.8765745
AARS2,0.402642833,0.34955,0.3183202,0.3,0.319195,0.318177
AARSD1,1.0388375,2.76295,0.7849364,0.6,0.401265,0.578960675
AASDH,4.801941667,2.93319,2.084092,1.2,0.5600615,1.26572
AASDHPPT,4.117609167,22.6336,5.890746,1.4,0.82924,5.51423
AASS,10.4961425,1.28972,5.165818,2.7,1.4464245,1.8302
AATF,4.8445025,5.7606,8.963078,6.1,4.11297,1.05408025
AATK,0.280414833,0.187019,1.5853436,0.1,0.1,0.98490575
AATK-AS1,0.1,0.1,0.1,0.1,0.1,0.0835749
ABAT,22.10444167,36.8187,6.825158,1.5,1.83576,10.6108225
ABCA1,12.2032325,2.85628,2.40579,9.7,1.41079,1.558575
ABCA10,0.1,0.484474,0.1062964,0.1,0.176256,0.37192825
ABCA11P,1.451700167,4.64052,1.354842,1.0,0.474654,0.1
ABCA12,0.122524167,0.1,0.1,0.1,0.1,0.0403844
ABCA13,0.1,0.1,0.1,0.1,0.1,0.055508638
ABCA17P,0.1,0.1,0.1,0.1,0.1,0.102740775
ABCA2,0.526833333,0.1,0.5987938,0.1,0.2594735,0.385414225
ABCA3,2.028906417,0.533495,0.338741,0.1,0.681386,0.37895375
ABCA4,0.17021225,0.1,0.1,0.1,0.1,0.0321422
ABCA5,0.1443075,3.00503,0.6623164,0.1,0.315477,1.6966275
ABCA6,0.100399667,0.762857,0.3084388,0.3,0.222557,0.6620135
ABCA7,0.1,0.1,0.1,0.1,0.1,0.087632725
ABCA8,0.460838917,1.20093,18.419766,0.2,1.941985,1.0284125
ABCA9,0.102795417,1.4606,0.1,0.2,1.72289,0.82388975
ABCB1,0.109995167,0.354687,0.1053172,0.1,18.4901,0.911594
ABCB10,1.4796215,2.44351,1.0823796,0.9,0.579473,0.5767205
